Z11 reOhm X,Z11 reOhm Y
241000000,1.115700964524157
242000000,1.115834302756514
243000000,1.115968023430424
244000000,1.116102124821901
245000000,1.116236605206567
246000000,1.116371462859637
247000000,1.116506696056061
248000000,1.116642303070511
249000000,1.116778282177451
250000000,1.116914631651217
251000000,1.117051349766033
252000000,1.117188434796088
253000000,1.117325885015578
254000000,1.117463698698761
255000000,1.117601874120016
256000000,1.117740409553859
257000000,1.11787930327507
258000000,1.118018553558655
259000000,1.118158158679964
260000000,1.118298116914716
261000000,1.118438426539032
262000000,1.118579085829526
263000000,1.118720093063326
264000000,1.118861446518122
265000000,1.119003144472244
266000000,1.119145185204669
267000000,1.119287566995111
268000000,1.119430288124057
269000000,1.119573346872772
270000000,1.119716741523426
271000000,1.119860470359094
272000000,1.120004531663788
273000000,1.120148923722552
